type;name;description;duration;title;ects;price;url;date_init
master_universitario;Máster universitario de Enseñanza y Aprendizaje de Idiomas Mediante la Tecnología;El máster online de Enseñanza y Aprendizaje de Idiomas Mediante la Tecnología proporciona una base teórica para entender como se aprenden los idiomas mediante la tecnología, pero con una amplia base práctica para aplicar la tecnología con finalidades pedagógicas, para la mejora del aprendizaje de los idiomas, siguiendo criterios conceptuales y metodológicos, dotando el máster de un carácter eminentemente práctico y profesionalizador.;;Enseñanza y Aprendizaje de Idiomas Mediante la Tecnología;60;;https://estudios.uoc.edu/es/masters-universitarios/ensenanza-idiomas-tecnologia/presentacion;20 octubre 2021
master_universitario;Máster universitario de Filosofía para los Retos Contemporáneos;El máster online de Filosofía para los Retos Contemporáneos de la UOC proporciona las herramientas conceptuales y metodológicas propias del pensamiento crítico y filosófico, para poder profundizar en el análisis y la comprensión de los retos sociales, ambientales y políticos del mundo actual.;;Filosofía para los Retos Contemporáneos;60;;https://estudios.uoc.edu/es/masters-universitarios/filosofia-retos-contemporaneos/presentacion;17 marzo 2021
master_universitario;Máster universitario de Gestión Cultural (interuniversitario: UOC, UdG);El máster universitario de Gestión cultural de la UOC y la UdG forma a profesionales expertos en la gestión cultural capaces de diseñar, gestionar y evaluar actuaciones culturales en cualquier ámbito, tanto del sector público como del privado.;;Gestión Cultural (interuniversitario: UOC, UdG);60;;https://estudios.uoc.edu/es/masters-universitarios/gestion-cultura/presentacion;17 marzo 2021
master_universitario;Máster universitario de Historia Contemporánea y Mundo Actual (interuniveristario: UB, UOC);El máster universitario de Historia contemporánea y mundo actual está diseñado para formar a estudiantes y/o profesionales interesados en profundizar en el conocimiento de la historia y las dinámicas contemporáneas, que ayudan a entender la complejidad del mundo actual.;;Historia Contemporánea y Mundo Actual (interuniveristario: UB, UOC);60;;https://estudios.uoc.edu/es/masters-universitarios/historia-contemporanea-mundo-actual/presentacion;
master_universitario;Máster universitario de Humanidades: Arte, Literatura y Cultura Contemporáneas;El máster universitario en línea de Humanidades: arte, literatura y cultura contemporáneas de la UOC es una titulación de estudios avanzados que profundiza en el conocimiento de la cultura humanística y las artes contemporáneas, permite al estudiante comprender la complejidad del mundo actual y dar respuesta a los nuevos retos que plantea el siglo XXI.;;Humanidades: Arte, Literatura y Cultura Contemporáneas;60;;https://estudios.uoc.edu/es/masters-universitarios/humanidades-arte-literatura-cultura-contemporaneas/presentacion;17 marzo 2021
master_universitario;Máster universitario de Mediterráneo Antiguo (interuniversitario: UOC, UAB, UAH);El máster universitario del Mediterráneo Antiguo proporciona un conocimiento extenso y profundo sobre historia antigua de las civilizaciones del Próximo Oriente, Egipto, Grecia y Roma, y capacita al estudiante para el ejercicio profesional o el itinerario de investigación, doctorado y docencia universitaria.;;Mediterráneo Antiguo (interuniversitario: UOC, UAB, UAH);60;;https://estudios.uoc.edu/es/masters-universitarios/mediterraneo-antiguo/presentacion;17 marzo 2021
master_universitario;Máster universitario de Traducción y Tecnologías;El máster universitario online de Traducción y Tecnologías proporciona los conocimientos y las herramientas necesarias tanto conceptuales como tecnológicas implicadas en la traducción especializada.;;Traducción y Tecnologías;60;;https://estudios.uoc.edu/es/masters-universitarios/traduccion-tecnologias/presentacion;17 marzo 2021
master_universitario;Máster universitario de Alimentación en la Actividad Física y el Deporte;El máster de Alimentación en la Actividad Física y el Deporte va dirigido a profesionales que quieran profundizar en la nutrición deportiva tanto desde la promoción de la salud mediante la alimentación saludable y la actividad física en población general como en las posibilidades de la nutrición para optimizar el rendimiento en los deportes.;;Alimentación en la Actividad Física y el Deporte;60;;https://estudios.uoc.edu/es/masters-universitarios/alimentacion-actividad-fisica-deporte/presentacion;17 marzo 2021
master_universitario;Máster universitario de Bioinformática y Bioestadística (interuniversitario: UOC, UB);El máster universitario de Bioinformática y Bioestadística en línea de la UOC y la UB forma a profesionales expertos en el uso de la tecnología para la gestión, el análisis y la interpretación de datos biológicos y médicos.;;Bioinformática y Bioestadística (interuniversitario: UOC, UB);60;;https://estudios.uoc.edu/es/masters-universitarios/bioinformatica-bioestadistica/presentacion;17 febrero 2021
master_universitario;Máster universitario de Neuropsicología;El máster universitario de Neuropsicología  está diseñado para formar a profesionales capacitados para desempeñar con excelencia la actividad clínica e investigadora propia de neuropsicólogos y neuropsicólogas en cualquiera de sus ámbitos de actuación.;;Neuropsicología;60;;https://estudios.uoc.edu/es/masters-universitarios/neuropsicologia/presentacion;17 marzo 2021
